course_id,branch,track,course_title,difficulty_level,provider,format,description,skills_taught,tools_covered,prerequisite_course_title,estimated_hours,rating,num_reviews,career_paths,industry_sectors
C000011,Aerospace Engineering,Aerodynamics & Fluid Mechanics,Aerodynamics & Fluid Mechanics: Foundations — Interview & Exam Prep,Beginner,Udacity,Interactive Lab,"A Aerospace Engineering-focused path through Aerodynamics & Fluid Mechanics. Problem sets, mock interviews and certification objectives with timed practice tests. Covers Linear Algebra, Calculus & Probability, Aerodynamics & Fluid Mechanics, interview preparation, certification objectives, timed practice; hands-on with matlab, ansys fluent, xflr5, openvsp. Graduates move into roles like Aerospace Systems Engineer.","Linear Algebra, Calculus & Probability; Aerodynamics & Fluid Mechanics; interview preparation; certification objectives; timed practice",matlab; ansys fluent; xflr5; openvsp,"Linear Algebra, Calculus & Probability: Foundations",12,4.5,4274,Aerospace Systems Engineer,aerospace; defense
C000012,Aerospace Engineering,Aerodynamics & Fluid Mechanics,Aerodynamics & Fluid Mechanics: Foundations — Interview & Exam Prep,Beginner,NPTEL,Interactive Lab,"This course is a foundational introduction to Aerodynamics & Fluid Mechanics for Aerospace Engineering learners -- problem sets, mock interviews and certification objectives with timed practice tests. You practise Linear Algebra, Calculus & Probability, Aerodynamics & Fluid Mechanics, interview preparation, certification objectives, timed practice using matlab, ansys fluent, xflr5, openvsp. Typical next roles: Aerospace Systems Engineer.","Linear Algebra, Calculus & Probability; Aerodynamics & Fluid Mechanics; interview preparation; certification objectives; timed practice",matlab; ansys fluent; xflr5; openvsp,"Linear Algebra, Calculus & Probability: Foundations",10,4.2,119,Aerospace Systems Engineer,aerospace; defense
C000013,Aerospace Engineering,Aerodynamics & Fluid Mechanics,Aerodynamics & Fluid Mechanics: Foundations — Crash Course,Beginner,NPTEL,Video Course,"A Aerospace Engineering-focused path through Aerodynamics & Fluid Mechanics. A condensed, fast-paced overview of only the essentials, doable in a weekend. Covers Linear Algebra, Calculus & Probability, Aerodynamics & Fluid Mechanics, essentials only, weekend intensive; hands-on with matlab, ansys fluent, xflr5, openvsp. Graduates move into roles like Aerospace Systems Engineer.","Linear Algebra, Calculus & Probability; Aerodynamics & Fluid Mechanics; essentials only; weekend intensive",matlab; ansys fluent; xflr5; openvsp,"Linear Algebra, Calculus & Probability: Foundations",7,4.8,127,Aerospace Systems Engineer,aerospace; defense
C000014,Aerospace Engineering,Aerodynamics & Fluid Mechanics,Aerodynamics & Fluid Mechanics: Applied,Intermediate,Udacity,Video Course,"This course is a practical, applied treatment of Aerodynamics & Fluid Mechanics for Aerospace Engineering learners -- structured lectures with graded assignments and readings. You practise Aerodynamics & Fluid Mechanics, Linear Algebra, Calculus & Probability using matlab, ansys fluent, xflr5, openvsp. Typical next roles: Aerospace Systems Engineer.","Aerodynamics & Fluid Mechanics; Linear Algebra, Calculus & Probability",matlab; ansys fluent; xflr5; openvsp,Aerodynamics & Fluid Mechanics: Foundations,25,4.4,1125,Aerospace Systems Engineer,aerospace; defense
C000015,Aerospace Engineering,Aerodynamics & Fluid Mechanics,Aerodynamics & Fluid Mechanics: Applied — Industry Practicum,Intermediate,NPTEL,Instructor-led Live,"Aerodynamics & Fluid Mechanics taught as industry case studies and production workflows taught by practitioners, live cohort. Aimed at Aerospace Engineering students and career changers. Core skills: Aerodynamics & Fluid Mechanics, Linear Algebra, Calculus & Probability, industry case studies, production workflows, tooling. Tools: matlab, ansys fluent, xflr5, openvsp. Prepares you for work as Aerospace Systems Engineer.","Aerodynamics & Fluid Mechanics; Linear Algebra, Calculus & Probability; industry case studies; production workflows; tooling",matlab; ansys fluent; xflr5; openvsp,Aerodynamics & Fluid Mechanics: Foundations,29,4.8,1057,Aerospace Systems Engineer,aerospace; defense
C000016,Aerospace Engineering,Aerodynamics & Fluid Mechanics,Aerodynamics & Fluid Mechanics: Applied — Interview & Exam Prep,Intermediate,NPTEL,Interactive Lab,"Aerodynamics & Fluid Mechanics taught as problem sets, mock interviews and certification objectives with timed practice tests. Aimed at Aerospace Engineering students and career changers. Core skills: Aerodynamics & Fluid Mechanics, Linear Algebra, Calculus & Probability, interview preparation, certification objectives, timed practice. Tools: matlab, ansys fluent, xflr5, openvsp. Prepares you for work as Aerospace Systems Engineer.","Aerodynamics & Fluid Mechanics; Linear Algebra, Calculus & Probability; interview preparation; certification objectives; timed practice",matlab; ansys fluent; xflr5; openvsp,Aerodynamics & Fluid Mechanics: Foundations,13,4.5,1021,Aerospace Systems Engineer,aerospace; defense
C000017,Aerospace Engineering,Aerodynamics & Fluid Mechanics,Aerodynamics & Fluid Mechanics: Applied,Intermediate,edX,Video Course,"A Aerospace Engineering-focused path through Aerodynamics & Fluid Mechanics. Structured lectures with graded assignments and readings. Covers Aerodynamics & Fluid Mechanics, Linear Algebra, Calculus & Probability; hands-on with matlab, ansys fluent, xflr5, openvsp. Graduates move into roles like Aerospace Systems Engineer.","Aerodynamics & Fluid Mechanics; Linear Algebra, Calculus & Probability",matlab; ansys fluent; xflr5; openvsp,Aerodynamics & Fluid Mechanics: Foundations,24,4.5,147,Aerospace Systems Engineer,aerospace; defense
C000018,Aerospace Engineering,Aerodynamics & Fluid Mechanics,Aerodynamics & Fluid Mechanics: Applied — Industry Practicum,Intermediate,Udacity,Instructor-led Live,"This course is a practical, applied treatment of Aerodynamics & Fluid Mechanics for Aerospace Engineering learners -- industry case studies and production workflows taught by practitioners, live cohort. You practise Aerodynamics & Fluid Mechanics, Linear Algebra, Calculus & Probability, industry case studies, production workflows, tooling using matlab, ansys fluent, xflr5, openvsp. Typical next roles: Aerospace Systems Engineer.","Aerodynamics & Fluid Mechanics; Linear Algebra, Calculus & Probability; industry case studies; production workflows; tooling",matlab; ansys fluent; xflr5; openvsp,Aerodynamics & Fluid Mechanics: Foundations,31,4.8,2379,Aerospace Systems Engineer,aerospace; defense
C000019,Aerospace Engineering,Aerodynamics & Fluid Mechanics,Aerodynamics & Fluid Mechanics: Applied — Deep Theory,Intermediate,Great Learning,Self-paced Reading,"Aerodynamics & Fluid Mechanics taught as a rigorous first-principles course with proofs, derivations and links to current research. Aimed at Aerospace Engineering students and career changers. Core skills: Aerodynamics & Fluid Mechanics, Linear Algebra, Calculus & Probability, first principles, derivations, research context. Tools: matlab, ansys fluent, xflr5, openvsp. Prepares you for work as Aerospace Systems Engineer.","Aerodynamics & Fluid Mechanics; Linear Algebra, Calculus & Probability; first principles; derivations; research context",matlab; ansys fluent; xflr5; openvsp,Aerodynamics & Fluid Mechanics: Foundations,26,4.2,790,Aerospace Systems Engineer,aerospace; defense
C000020,Aerospace Engineering,Aerodynamics & Fluid Mechanics,Aerodynamics & Fluid Mechanics: Applied — Project Track,Intermediate,DataCamp,Project-Based,"A Aerospace Engineering-focused path through Aerodynamics & Fluid Mechanics. One large end-to-end project delivered in stages, code review, a shippable portfolio outcome. Covers Aerodynamics & Fluid Mechanics, Linear Algebra, Calculus & Probability, portfolio project, real-world scenario; hands-on with matlab, ansys fluent, xflr5, openvsp. Graduates move into roles like Aerospace Systems Engineer.","Aerodynamics & Fluid Mechanics; Linear Algebra, Calculus & Probability; portfolio project; real-world scenario",matlab; ansys fluent; xflr5; openvsp,Aerodynamics & Fluid Mechanics: Foundations,30,3.7,2203,Aerospace Systems Engineer,aerospace; defense
C000021,Aerospace Engineering,Aerodynamics & Fluid Mechanics,Aerodynamics & Fluid Mechanics: Applied — Crash Course,Intermediate,NPTEL,Video Course,"This course is a practical, applied treatment of Aerodynamics & Fluid Mechanics for Aerospace Engineering learners -- a condensed, fast-paced overview of only the essentials, doable in a weekend. You practise Aerodynamics & Fluid Mechanics, Linear Algebra, Calculus & Probability, essentials only, weekend intensive using matlab, ansys fluent, xflr5, openvsp. Typical next roles: Aerospace Systems Engineer.","Aerodynamics & Fluid Mechanics; Linear Algebra, Calculus & Probability; essentials only; weekend intensive",matlab; ansys fluent; xflr5; openvsp,Aerodynamics & Fluid Mechanics: Foundations,16,4.6,532,Aerospace Systems Engineer,aerospace; defense
C000022,Aerospace Engineering,Aerodynamics & Fluid Mechanics,Aerodynamics & Fluid Mechanics: Applied — Crash Course,Intermediate,Coursera,Video Course,"This course is a practical, applied treatment of Aerodynamics & Fluid Mechanics for Aerospace Engineering learners -- a condensed, fast-paced overview of only the essentials, doable in a weekend. You practise Aerodynamics & Fluid Mechanics, Linear Algebra, Calculus & Probability, essentials only, weekend intensive using matlab, ansys fluent, xflr5, openvsp. Typical next roles: Aerospace Systems Engineer.","Aerodynamics & Fluid Mechanics; Linear Algebra, Calculus & Probability; essentials only; weekend intensive",matlab; ansys fluent; xflr5; openvsp,Aerodynamics & Fluid Mechanics: Foundations,11,4.9,325,Aerospace Systems Engineer,aerospace; defense
C000023,Aerospace Engineering,Aerodynamics & Fluid Mechanics,Aerodynamics & Fluid Mechanics: Applied — Deep Theory,Intermediate,LinkedIn Learning,Self-paced Reading,"Learn Aerodynamics & Fluid Mechanics the applied way -- a rigorous first-principles course with proofs, derivations and links to current research. Skills built: Aerodynamics & Fluid Mechanics, Linear Algebra, Calculus & Probability, first principles, derivations, research context. Toolchain: matlab, ansys fluent, xflr5, openvsp. Relevant careers: Aerospace Systems Engineer.","Aerodynamics & Fluid Mechanics; Linear Algebra, Calculus & Probability; first principles; derivations; research context",matlab; ansys fluent; xflr5; openvsp,Aerodynamics & Fluid Mechanics: Foundations,28,4.7,2226,Aerospace Systems Engineer,aerospace; defense
C000024,Aerospace Engineering,Aerodynamics & Fluid Mechanics,Aerodynamics & Fluid Mechanics: Applied — Deep Theory,Intermediate,edX,Self-paced Reading,"Learn Aerodynamics & Fluid Mechanics the applied way -- a rigorous first-principles course with proofs, derivations and links to current research. Skills built: Aerodynamics & Fluid Mechanics, Linear Algebra, Calculus & Probability, first principles, derivations, research context. Toolchain: matlab, ansys fluent, xflr5, openvsp. Relevant careers: Aerospace Systems Engineer.","Aerodynamics & Fluid Mechanics; Linear Algebra, Calculus & Probability; first principles; derivations; research context",matlab; ansys fluent; xflr5; openvsp,Aerodynamics & Fluid Mechanics: Foundations,25,4.3,3980,Aerospace Systems Engineer,aerospace; defense
C000025,Aerospace Engineering,Aerodynamics & Fluid Mechanics,Aerodynamics & Fluid Mechanics: Applied — Interview & Exam Prep,Intermediate,MITx,Interactive Lab,"Aerodynamics & Fluid Mechanics taught as problem sets, mock interviews and certification objectives with timed practice tests. Aimed at Aerospace Engineering students and career changers. Core skills: Aerodynamics & Fluid Mechanics, Linear Algebra, Calculus & Probability, interview preparation, certification objectives, timed practice. Tools: matlab, ansys fluent, xflr5, openvsp. Prepares you for work as Aerospace Systems Engineer.","Aerodynamics & Fluid Mechanics; Linear Algebra, Calculus & Probability; interview preparation; certification objectives; timed practice",matlab; ansys fluent; xflr5; openvsp,Aerodynamics & Fluid Mechanics: Foundations,16,4.4,1901,Aerospace Systems Engineer,aerospace; defense
C000026,Aerospace Engineering,Aerodynamics & Fluid Mechanics,Aerodynamics & Fluid Mechanics: Applied — Crash Course,Intermediate,edX,Video Course,"This course is a practical, applied treatment of Aerodynamics & Fluid Mechanics for Aerospace Engineering learners -- a condensed, fast-paced overview of only the essentials, doable in a weekend. You practise Aerodynamics & Fluid Mechanics, Linear Algebra, Calculus & Probability, essentials only, weekend intensive using matlab, ansys fluent, xflr5, openvsp. Typical next roles: Aerospace Systems Engineer.","Aerodynamics & Fluid Mechanics; Linear Algebra, Calculus & Probability; essentials only; weekend intensive",matlab; ansys fluent; xflr5; openvsp,Aerodynamics & Fluid Mechanics: Foundations,14,4.3,1059,Aerospace Systems Engineer,aerospace; defense
C000027,Aerospace Engineering,Aerodynamics & Fluid Mechanics,Aerodynamics & Fluid Mechanics: Advanced,Advanced,Coursera,Video Course,"A Aerospace Engineering-focused path through Aerodynamics & Fluid Mechanics. Structured lectures with graded assignments and readings. Covers Aerodynamics & Fluid Mechanics, Linear Algebra, Calculus & Probability, Aerodynamics & Fluid Mechanics optimisation, performance tuning; hands-on with matlab, ansys fluent, xflr5, openvsp. Graduates move into roles like Aerospace Systems Engineer.","Aerodynamics & Fluid Mechanics; Linear Algebra, Calculus & Probability; Aerodynamics & Fluid Mechanics optimisation; performance tuning",matlab; ansys fluent; xflr5; openvsp,Aerodynamics & Fluid Mechanics: Applied,45,4.0,1349,Aerospace Systems Engineer,aerospace; defense
C000028,Aerospace Engineering,Aerodynamics & Fluid Mechanics,Aerodynamics & Fluid Mechanics: Advanced — Industry Practicum,Advanced,Udacity,Instructor-led Live,"Aerodynamics & Fluid Mechanics taught as industry case studies and production workflows taught by practitioners, live cohort. Aimed at Aerospace Engineering students and career changers. Core skills: Aerodynamics & Fluid Mechanics, Linear Algebra, Calculus & Probability, Aerodynamics & Fluid Mechanics optimisation, performance tuning, industry case studies. Tools: matlab, ansys fluent, xflr5, openvsp. Prepares you for work as Aerospace Systems Engineer.","Aerodynamics & Fluid Mechanics; Linear Algebra, Calculus & Probability; Aerodynamics & Fluid Mechanics optimisation; performance tuning; industry case studies; production workflows; tooling",matlab; ansys fluent; xflr5; openvsp,Aerodynamics & Fluid Mechanics: Applied,50,4.1,1072,Aerospace Systems Engineer,aerospace; defense
C000029,Aerospace Engineering,Aerodynamics & Fluid Mechanics,Aerodynamics & Fluid Mechanics: Advanced — Crash Course,Advanced,LinkedIn Learning,Video Course,"This course is an in-depth advanced study of Aerodynamics & Fluid Mechanics for Aerospace Engineering learners -- a condensed, fast-paced overview of only the essentials, doable in a weekend. You practise Aerodynamics & Fluid Mechanics, Linear Algebra, Calculus & Probability, Aerodynamics & Fluid Mechanics optimisation, performance tuning, essentials only using matlab, ansys fluent, xflr5, openvsp. Typical next roles: Aerospace Systems Engineer.","Aerodynamics & Fluid Mechanics; Linear Algebra, Calculus & Probability; Aerodynamics & Fluid Mechanics optimisation; performance tuning; essentials only; weekend intensive",matlab; ansys fluent; xflr5; openvsp,Aerodynamics & Fluid Mechanics: Applied,18,4.3,289,Aerospace Systems Engineer,aerospace; defense
C000030,Aerospace Engineering,Aerodynamics & Fluid Mechanics,Aerodynamics & Fluid Mechanics: Advanced — Crash Course,Advanced,NPTEL,Video Course,"This course is an in-depth advanced study of Aerodynamics & Fluid Mechanics for Aerospace Engineering learners -- a condensed, fast-paced overview of only the essentials, doable in a weekend. You practise Aerodynamics & Fluid Mechanics, Linear Algebra, Calculus & Probability, Aerodynamics & Fluid Mechanics optimisation, performance tuning, essentials only using matlab, ansys fluent, xflr5, openvsp. Typical next roles: Aerospace Systems Engineer.","Aerodynamics & Fluid Mechanics; Linear Algebra, Calculus & Probability; Aerodynamics & Fluid Mechanics optimisation; performance tuning; essentials only; weekend intensive",matlab; ansys fluent; xflr5; openvsp,Aerodynamics & Fluid Mechanics: Applied,16,4.3,2181,Aerospace Systems Engineer,aerospace; defense
C000031,Aerospace Engineering,Aerodynamics & Fluid Mechanics,Aerodynamics & Fluid Mechanics: Advanced — Interview & Exam Prep,Advanced,Great Learning,Interactive Lab,"Learn Aerodynamics & Fluid Mechanics the applied way -- problem sets, mock interviews and certification objectives with timed practice tests. Skills built: Aerodynamics & Fluid Mechanics, Linear Algebra, Calculus & Probability, Aerodynamics & Fluid Mechanics optimisation, performance tuning, interview preparation. Toolchain: matlab, ansys fluent, xflr5, openvsp. Relevant careers: Aerospace Systems Engineer.","Aerodynamics & Fluid Mechanics; Linear Algebra, Calculus & Probability; Aerodynamics & Fluid Mechanics optimisation; performance tuning; interview preparation; certification objectives; timed practice",matlab; ansys fluent; xflr5; openvsp,Aerodynamics & Fluid Mechanics: Applied,33,4.3,907,Aerospace Systems Engineer,aerospace; defense
C000032,Aerospace Engineering,Aerodynamics & Fluid Mechanics,Aerodynamics & Fluid Mechanics: Advanced — Industry Practicum,Advanced,DataCamp,Instructor-led Live,"This course is an in-depth advanced study of Aerodynamics & Fluid Mechanics for Aerospace Engineering learners -- industry case studies and production workflows taught by practitioners, live cohort. You practise Aerodynamics & Fluid Mechanics, Linear Algebra, Calculus & Probability, Aerodynamics & Fluid Mechanics optimisation, performance tuning, industry case studies using matlab, ansys fluent, xflr5, openvsp. Typical next roles: Aerospace Systems Engineer.","Aerodynamics & Fluid Mechanics; Linear Algebra, Calculus & Probability; Aerodynamics & Fluid Mechanics optimisation; performance tuning; industry case studies; production workflows; tooling",matlab; ansys fluent; xflr5; openvsp,Aerodynamics & Fluid Mechanics: Applied,44,4.6,135,Aerospace Systems Engineer,aerospace; defense
C000033,Aerospace Engineering,Aerodynamics & Fluid Mechanics,Aerodynamics & Fluid Mechanics: Advanced — Crash Course,Advanced,DataCamp,Video Course,"A Aerospace Engineering-focused path through Aerodynamics & Fluid Mechanics. A condensed, fast-paced overview of only the essentials, doable in a weekend. Covers Aerodynamics & Fluid Mechanics, Linear Algebra, Calculus & Probability, Aerodynamics & Fluid Mechanics optimisation, performance tuning, essentials only; hands-on with matlab, ansys fluent, xflr5, openvsp. Graduates move into roles like Aerospace Systems Engineer.","Aerodynamics & Fluid Mechanics; Linear Algebra, Calculus & Probability; Aerodynamics & Fluid Mechanics optimisation; performance tuning; essentials only; weekend intensive",matlab; ansys fluent; xflr5; openvsp,Aerodynamics & Fluid Mechanics: Applied,21,4.5,3550,Aerospace Systems Engineer,aerospace; defense
C000034,Aerospace Engineering,Aerodynamics & Fluid Mechanics,Aerodynamics & Fluid Mechanics: Advanced — Deep Theory,Advanced,NPTEL,Self-paced Reading,"A Aerospace Engineering-focused path through Aerodynamics & Fluid Mechanics. A rigorous first-principles course with proofs, derivations and links to current research. Covers Aerodynamics & Fluid Mechanics, Linear Algebra, Calculus & Probability, Aerodynamics & Fluid Mechanics optimisation, performance tuning, first principles; hands-on with matlab, ansys fluent, xflr5, openvsp. Graduates move into roles like Aerospace Systems Engineer.","Aerodynamics & Fluid Mechanics; Linear Algebra, Calculus & Probability; Aerodynamics & Fluid Mechanics optimisation; performance tuning; first principles; derivations; research context",matlab; ansys fluent; xflr5; openvsp,Aerodynamics & Fluid Mechanics: Applied,35,4.4,2567,Aerospace Systems Engineer,aerospace; defense
C000035,Aerospace Engineering,Aerodynamics & Fluid Mechanics,Aerodynamics & Fluid Mechanics: Advanced — Hands-On Lab,Advanced,edX,Interactive Lab,"Aerodynamics & Fluid Mechanics taught as a lab-first course: you build and break things every module, guided walkthroughs, no long lectures. Aimed at Aerospace Engineering students and career changers. Core skills: Aerodynamics & Fluid Mechanics, Linear Algebra, Calculus & Probability, Aerodynamics & Fluid Mechanics optimisation, performance tuning, lab exercises. Tools: matlab, ansys fluent, xflr5, openvsp. Prepares you for work as Aerospace Systems Engineer.","Aerodynamics & Fluid Mechanics; Linear Algebra, Calculus & Probability; Aerodynamics & Fluid Mechanics optimisation; performance tuning; lab exercises; debugging practice",matlab; ansys fluent; xflr5; openvsp,Aerodynamics & Fluid Mechanics: Applied,52,4.7,2459,Aerospace Systems Engineer,aerospace; defense
C000036,Aerospace Engineering,Aerodynamics & Fluid Mechanics,Aerodynamics & Fluid Mechanics: Advanced — Interview & Exam Prep,Advanced,Coursera,Interactive Lab,"Aerodynamics & Fluid Mechanics taught as problem sets, mock interviews and certification objectives with timed practice tests. Aimed at Aerospace Engineering students and career changers. Core skills: Aerodynamics & Fluid Mechanics, Linear Algebra, Calculus & Probability, Aerodynamics & Fluid Mechanics optimisation, performance tuning, interview preparation. Tools: matlab, ansys fluent, xflr5, openvsp. Prepares you for work as Aerospace Systems Engineer.","Aerodynamics & Fluid Mechanics; Linear Algebra, Calculus & Probability; Aerodynamics & Fluid Mechanics optimisation; performance tuning; interview preparation; certification objectives; timed practice",matlab; ansys fluent; xflr5; openvsp,Aerodynamics & Fluid Mechanics: Applied,28,4.4,1327,Aerospace Systems Engineer,aerospace; defense
C000037,Aerospace Engineering,Aerodynamics & Fluid Mechanics,Aerodynamics & Fluid Mechanics: Advanced — Deep Theory,Advanced,edX,Self-paced Reading,"Aerodynamics & Fluid Mechanics taught as a rigorous first-principles course with proofs, derivations and links to current research. Aimed at Aerospace Engineering students and career changers. Core skills: Aerodynamics & Fluid Mechanics, Linear Algebra, Calculus & Probability, Aerodynamics & Fluid Mechanics optimisation, performance tuning, first principles. Tools: matlab, ansys fluent, xflr5, openvsp. Prepares you for work as Aerospace Systems Engineer.","Aerodynamics & Fluid Mechanics; Linear Algebra, Calculus & Probability; Aerodynamics & Fluid Mechanics optimisation; performance tuning; first principles; derivations; research context",matlab; ansys fluent; xflr5; openvsp,Aerodynamics & Fluid Mechanics: Applied,41,4.1,1280,Aerospace Systems Engineer,aerospace; defense
